y_tot,edad,grado_esc,hora_delito_12_6,hora_delito_12_18,hora_delito_18_24,lugar_delito_otro,lugar_delito_calle,lugar_delito_negocio_est,lugar_delito_carretera,lugar_delito_transporte_pub,lugar_delito_trabajo,lugar_delito_lug_publico,si_vic_acompanada,si_delinc_desconocidos,no_delinc_desconocidos,si_delinc_con_vista,si_delinc_con_pocotrat,si_delinc_con_cercano,si_delinc_familiares,si_no_sabe,si_arma,si_violencia_fisica,si_acudio_mp,tiempo_viv_6_12,tiempo_viv_mas_12,seguro_en_casa_seguro,seguro_en_trabajo,seguro_en_calle,seguro_transp_pub,na_seguro_transp_pub,conf_vecinos_mucha,conf_vecinos_nada,conf_vecinos_alguna,conf_companeros_mucho,conf_companeros_nada,conf_companeros_alguna,conf_familiares_mucha,conf_familiares_nada,conf_familiares_alguna,conf_amigos_mucha,conf_amigos_nada,conf_amigos_alguna,TDPAREN_1_jefe, TDPAREN_4_padre,TDPAREN_6_sin_parentesco,TDPAREN_2_esposo,TDPAREN_5_otro
1,0.004633458,0.001813092,0,0,0.000201455,0,0.000201455,0,0,0,0,0,0,0,0.000201455,0,0,0,0.000201455,0,0,0,0,0,0.000201455,0,0,0,0,0,0,0,0,0,0,0,0,0.000201455,0,0,0,0,0,0,0,0,0.000201455
1,0.004633458,0.001813092,0,0,0.000201455,0,0,0,0,0,0,0,0,0,0.000201455,0,0,0,0.000201455,0,0,0.000201455,0,0,0.000201455,0,0,0,0,0,0,0,0,0,0,0,0,0.000201455,0,0,0,0,0,0,0,0,0.000201455
1,0.004633458,0.001813092,0,0,0.000201455,0,0,0,0,0,0,0,0,0,0.000201455,0,0,0,0.000201455,0,0,0.000201455,0,0,0.000201455,0,0,0,0,0,0,0,0,0,0,0,0,0.000201455,0,0,0,0,0,0,0,0,0.000201455
1,0.004633458,0.001813092,0,0.000201455,0,0,0,0,0,0,0,0,0,0,0.000201455,0,0,0,0.000201455,0,0,0,0,0,0.000201455,0,0,0,0,0,0,0,0,0,0,0,0,0.000201455,0,0,0,0,0,0,0,0,0.000201455
1,0.004633458,0.001813092,0,0,0,0,0,0,0,0,0,0,0,0,0.000201455,0,0,0,0.000201455,0,0,0.000201455,0,0,0.000201455,0,0,0,0,0,0,0,0,0,0,0,0,0.000201455,0,0,0,0,0,0,0,0,0.000201455
1,0.004633458,0.001813092,0,0,0.000201455,0,0,0,0,0,0,0,0,0,0.000201455,0,0,0,0.000201455,0,0,0.000201455,0,0,0.000201455,0,0,0,0,0,0,0,0,0,0,0,0,0.000201455,0,0,0,0,0,0,0,0,0.000201455
1,0.004633458,0.001813092,0,0,0.000201455,0,0,0,0,0,0,0,0,0,0.000201455,0,0,0,0.000201455,0,0,0.000201455,0,0,0.000201455,0,0,0,0,0,0,0,0,0,0,0,0,0.000201455,0,0,0,0,0,0,0,0,0.000201455
1,0.004633458,0.001813092,0,0.000201455,0,0,0,0,0,0,0,0,0.000201455,0,0.000201455,0,0,0,0.000201455,0,0,0.000201455,0.000201455,0,0.000201455,0,0,0,0,0,0,0,0,0,0,0,0,0.000201455,0,0,0,0,0,0,0,0,0.000201455
1,0.034951768,0.002995866,0,0.000499311,0,0,0.000499311,0,0,0,0,0,0.000499311,0,0.000499311,0.000499311,0,0,0,0,0,0,0,0,0.000499311,0.000499311,0,0,0.000499311,0,0,0,0,0,0,0,0.000499311,0,0,0,0,0,0.000499311,0,0,0,0
1,0.034951768,0.002995866,0,0.000499311,0,0,0.000499311,0,0,0,0,0,0,0,0.000499311,0.000499311,0,0,0,0,0,0,0,0,0.000499311,0.000499311,0,0,0.000499311,0,0,0,0,0,0,0,0.000499311,0,0,0,0,0,0.000499311,0,0,0,0
1,0.034951768,0.002995866,0,0,0,0,0.000499311,0,0,0,0,0,0.000499311,0,0.000499311,0.000499311,0,0,0,0,0,0,0,0,0.000499311,0.000499311,0,0,0.000499311,0,0,0,0,0,0,0,0.000499311,0,0,0,0,0,0.000499311,0,0,0,0
1,0.088368155,0.021208357,0,0,0,0,0.001767363,0,0,0,0,0,0,0,0.001767363,0,0.001767363,0,0,0,0,0,0,0,0.001767363,0.001767363,0,0,0,0,0,0,0,0,0,0,0.001767363,0,0,0,0,0,0,0,0,0.001767363,0
1,0.006128919,0.002903172,0,0.000322575,0,0,0.000322575,0,0,0,0,0,0.000322575,0.000322575,0,0,0,0,0,0,0,0,0,0,0.000322575,0.000322575,0,0.000322575,0,0,0,0.000322575,0,0,0,0,0.000322575,0,0,0,0,0,0,0,0,0,0.000322575
1,0.027615358,0.015780204,0,0,0,0,0,0,0,0,0,0.001315017,0.001315017,0.001315017,0,0,0,0,0,0,0,0,0,0,0.001315017,0.001315017,0,0,0.001315017,0,0,0,0.001315017,0,0,0,0.001315017,0,0,0,0,0,0,0,0,0,0.001315017
1,0.027615358,0.015780204,0,0.001315017,0,0,0.001315017,0,0,0,0,0,0,0.001315017,0,0,0,0,0,0,0,0,0,0,0.001315017,0.001315017,0,0,0.001315017,0,0,0,0.001315017,0,0,0,0.001315017,0,0,0,0,0,0,0,0,0,0.001315017
1,0.027615358,0.015780204,0,0.001315017,0,0,0.001315017,0,0,0,0,0,0,0.001315017,0,0,0,0,0,0,0,0.001315017,0,0,0.001315017,0.001315017,0,0,0.001315017,0,0,0,0.001315017,0,0,0,0.001315017,0,0,0,0,0,0,0,0,0,0.001315017
1,0.027615358,0.015780204,0,0,0.001315017,0,0.001315017,0,0,0,0,0,0,0.001315017,0,0,0,0,0,0,0,0.001315017,0,0,0.001315017,0.001315017,0,0,0.001315017,0,0,0,0.001315017,0,0,0,0.001315017,0,0,0,0,0,0,0,0,0,0.001315017
1,0.027615358,0.015780204,0,0,0.001315017,0,0.001315017,0,0,0,0,0,0.001315017,0.001315017,0,0,0,0,0,0,0.001315017,0.001315017,0,0,0.001315017,0.001315017,0,0,0.001315017,0,0,0,0.001315017,0,0,0,0.001315017,0,0,0,0,0,0,0,0,0,0.001315017
1,0.027615358,0.015780204,0,0.001315017,0,0,0.001315017,0,0,0,0,0,0,0.001315017,0,0,0,0,0,0,0,0.001315017,0,0,0.001315017,0.001315017,0,0,0.001315017,0,0,0,0.001315017,0,0,0,0.001315017,0,0,0,0,0,0,0,0,0,0.001315017
1,0.027615358,0.015780204,0,0,0.001315017,0,0.001315017,0,0,0,0,0,0,0,0.001315017,0.001315017,0,0,0,0,0,0.001315017,0,0,0.001315017,0.001315017,0,0,0.001315017,0,0,0,0.001315017,0,0,0,0.001315017,0,0,0,0,0,0,0,0,0,0.001315017
1,0.027615358,0.015780204,0,0.001315017,0,0,0.001315017,0,0,0,0,0,0,0,0.001315017,0,0.001315017,0,0,0,0,0.001315017,0,0,0.001315017,0.001315017,0,0,0.001315017,0,0,0,0.001315017,0,0,0,0.001315017,0,0,0,0,0,0,0,0,0,0.001315017
1,0.027615358,0.015780204,0,0.001315017,0,0.001315017,0,0,0,0,0,0,0,0,0.001315017,0,0.001315017,0,0,0,0,0.001315017,0,0,0.001315017,0.001315017,0,0,0.001315017,0,0,0,0.001315017,0,0,0,0.001315017,0,0,0,0,0,0,0,0,0,0.001315017
1,0.027615358,0.015780204,0,0.001315017,0,0,0.001315017,0,0,0,0,0,0,0.001315017,0,0,0,0,0,0,0.001315017,0.001315017,0,0,0.001315017,0.001315017,0,0,0.001315017,0,0,0,0.001315017,0,0,0,0.001315017,0,0,0,0,0,0,0,0,0,0.001315017
1,0.029561929,0.023931085,0,0,0.001407711,0,0.001407711,0,0,0,0,0,0,0,0.001407711,0,0,0.001407711,0,0,0,0.001407711,0,0,0.001407711,0.001407711,0.001407711,0,0,0,0,0,0,0,0,0.001407711,0.001407711,0,0,0.001407711,0,0,0,0,0,0,0.001407711
